,품명,사용수량,단가,현재고,출고제한수량,프로젝트번호
0,C0603C105J4RACAUTO,114,0,0,0,0
1,C0603C104J5RACAUTO,91,0,0,0,0
2,C0603C103J1RACAUTO,87,0,0,0,0
3,T495A106K010AHA2K0,13,0,0,0,0
4,VRF-04-10-50-04-N,2,114757,[4. 8. 2.],[0. 8. 2.],['G-C4P20B' 'A-STP21A' 'G-MSC20B']
5,VSF-05-20-50-04-G,1,99104,[7. 2. 3. 4. 6.],[0. 0. 3. 4. 5.],['N-PIO21A' 'G-C4P20B' 'A-STP21A' 'A-STP21A' 'G-MSC20B']
6,HIBISCUS,1,0,0,0,0
7,T495A106K010AHA2K0,29,0,0,0,0
8,T495B686K010AHE600,4,0,0,0,0
9,C0805C105J4RACAUTO,1,0,0,0,0
10,C0805C102J1GACAUTO,1,0,0,0,0
11,C0805C103J1RACAUTO,1,0,0,0,0
12,C0805C104J1RACAUTO,1,0,0,0,0
13,C0603C104J5RACAUTO,1,0,0,0,0
14,C0603C103J1RACAUTO,1,0,0,0,0
15,JANTX1N6642US,1,9623,"[316. 600. 173.  28. 200. 500. 300. 310. 555.  63.  28.  58. 140.   2.
 139.]","[313. 600. 173.   0. 200. 500. 190. 310. 555.  63.  28.   0. 140.   0.
  64.]","['G-SLC22A' 'G-DRS22A' 'G-EME22A' 'G-MSS23A' 'G-EME22A' 'G-MRS22A'
 'G-SCV23A' 'G-MSC20B' 'G-MSC20B' 'G-MSC20B' 'G-MSC20B' 'G-C4P20B'
 'A-STP21A' 'G-SIM22A' 'G-LMC21A']"
16,M83513/31-B03NT,1,302561,[ 3.  1.  3.  1. 11.],[0. 1. 0. 1. 2.],['G-C4P20B' 'G-MSC20B' 'G-C4P20B' 'A-STP21A' 'G-MSC20B']
17,M83513/31-D03NT,1,274790,[ 2. 10.  4.],[0. 4. 0.],['G-C4P20B' 'G-MSC20B' 'G-MSC20B']
18,BLM31PG330SH1,3,750,[131.],[2.],['G-HRC16B']
19,BLM21PG121SH1,14,38,[2900.    4.   24.],[249.   0.   0.],['G-NSS18A' 'C-AAA00A' 'G-SIM22A']
20,VSM-05-20-120-50-04-G,1,104585,[ 2. 10.  8.],[0. 0. 4.],['G-C4P20B' 'G-C4P20B' 'G-MSC20B']
21,CRCW080547K0FKTA,1,0,0,0,0
22,CRCW080510K0FKTA,1,250,[30.],[0.],['C-AAA00A']
23,CRCW0603100KFKTA,3,0,0,0,0
24,CRCW06030000ZSTA,4,70,[48.],[0.],['C-AAA00A']
25,CRCW060322R0FKTA,1,0,0,0,0
26,SNJ54AC14W,1,24686,[ 2.  5.  4. 40. 18.  7. 12. 25.],[ 2.  3.  3. 30. 12.  6.  0. 25.],"['G-MTU22A' 'G-SLC22A' 'G-DRS22A' 'G-DRS22A' 'G-MSC20B' 'G-MSC20B'
 'G-MSC20B' 'A-STP21A']"
27,QT94LW9M-55.000MHz,1,1800000,[5. 2.],[4. 0.],['G-MSC20B' 'G-C4P20B']
